Taxa,Latitude,Longitude,altitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,IC1,IC2,IC3
CIho14216,46.144,105.144,1363,14,143,28,13255,255,-250,505,177,-131,177,-164,163,48,1,110,114,5,114,5,1.776,-2.203,0.064
CIho14219,46.144,105.144,1363,14,143,28,13255,255,-250,505,177,-131,177,-164,163,48,1,110,114,5,114,5,1.776,-2.203,0.064
CIho14222,46.145,105.145,1367,14,143,28,13255,255,-250,505,177,-131,177,-164,163,48,1,110,114,5,114,5,1.776,-2.203,0.064
CIho14228,46.145,105.145,1367,14,143,28,13255,255,-250,505,177,-131,177,-164,163,48,1,110,114,5,114,5,1.776,-2.203,0.064
CIho14234,46.145,105.145,1367,14,143,28,13255,255,-250,505,177,-131,177,-164,163,48,1,110,114,5,114,5,1.776,-2.203,0.064
CIho14239,46.145,105.145,1367,14,143,28,13255,255,-250,505,177,-131,177,-164,163,48,1,110,114,5,114,5,1.776,-2.203,0.064
PI061576,46.145,105.145,1367,14,143,28,13255,255,-250,505,177,-131,177,-164,163,48,1,110,114,5,114,5,1.776,-2.203,0.064
PI061589,46.146,105.146,1366,13,143,28,13235,254,-250,504,176,-132,176,-165,165,48,1,112,116,5,116,5,1.783,-2.209,0.078
PI184103,43.296,19.246,1025,76,95,33,6658,227,-59,286,40,156,159,-12,1126,120,77,13,329,249,253,282,0.518,1.486,-0.744
PI184112,43.496,19.496,845,78,93,32,6766,226,-60,286,143,2,161,-13,1034,103,70,12,289,219,263,237,0.644,1.154,-0.459
PI344944,43.53,19.48,939,81,94,32,6789,231,-58,289,148,5,165,-9,1026,102,70,12,286,218,260,237,0.61,1.129,-0.455
PI344956,43.297,19.263,996,76,95,33,6658,227,-59,286,40,156,159,-12,1126,120,77,13,329,249,253,282,0.518,1.486,-0.744
PI344958,43.297,19.263,996,76,95,33,6658,227,-59,286,40,156,159,-12,1126,120,77,13,329,249,253,282,0.518,1.486,-0.744
PI356672,32.148,-4.852,1536,149,151,41,6922,357,-9,366,107,245,245,65,242,32,6,40,87,23,23,62,-0.582,-0.416,-0.76
PI356696,32.148,-4.852,1536,149,151,41,6922,357,-9,366,107,245,245,65,242,32,6,40,87,23,23,62,-0.582,-0.416,-0.76
PI356711,32.148,-4.852,1536,149,151,41,6922,357,-9,366,107,245,245,65,242,32,6,40,87,23,23,62,-0.582,-0.416,-0.76
PI356713,32.149,-4.852,1538,149,151,41,6922,357,-9,366,107,245,245,65,242,32,6,40,87,23,23,62,-0.582,-0.416,-0.76
PI356715,32.149,-4.851,1543,149,151,41,6922,357,-9,366,107,245,245,65,242,32,6,40,87,23,23,62,-0.582,-0.416,-0.76
PI356718,32.149,-4.851,1543,149,151,41,6922,357,-9,366,107,245,245,65,242,32,6,40,87,23,23,62,-0.582,-0.416,-0.76
PI356719,32.149,-4.851,1543,149,151,41,6922,357,-9,366,107,245,245,65,242,32,6,40,87,23,23,62,-0.582,-0.416,-0.76
PI356732,32.149,-4.851,1543,149,151,41,6922,357,-9,366,107,245,245,65,242,32,6,40,87,23,23,62,-0.582,-0.416,-0.76
PI356734,32.149,-4.851,1543,149,151,41,6922,357,-9,366,107,245,245,65,242,32,6,40,87,23,23,62,-0.582,-0.416,-0.76
PI356737,32.149,-4.851,1543,149,151,41,6922,357,-9,366,107,245,245,65,242,32,6,40,87,23,23,62,-0.582,-0.416,-0.76
PI356741,32.149,-4.851,1543,149,151,41,6922,357,-9,366,107,245,245,65,242,32,6,40,87,23,23,62,-0.582,-0.416,-0.76
PI356742,32.149,-4.851,1543,149,151,41,6922,357,-9,366,107,245,245,65,242,32,6,40,87,23,23,62,-0.582,-0.416,-0.76
PI356755,32.15,-4.85,1545,149,151,41,6922,357,-9,366,107,245,245,65,242,32,6,40,87,23,23,62,-0.582,-0.416,-0.76
PI356759,32.15,-4.85,1545,149,151,41,6922,357,-9,366,107,245,245,65,242,32,6,40,87,23,23,62,-0.582,-0.416,-0.76
PI356763,32.15,-4.85,1545,149,151,41,6922,357,-9,366,107,245,245,65,242,32,6,40,87,23,23,62,-0.582,-0.416,-0.76
PI356771,32.15,-4.85,1545,149,151,41,6922,357,-9,366,107,245,245,65,242,32,6,40,87,23,23,62,-0.582,-0.416,-0.76
PI356775,32.15,-4.85,1545,149,151,41,6922,357,-9,366,107,245,245,65,242,32,6,40,87,23,23,62,-0.582,-0.416,-0.76
CIho14401,22.15,98.15,1024,208,123,49,3536,311,61,250,240,164,242,157,1447,279,3,83,761,22,661,26,-0.72,-0.138,2.058
PI176071,28.151,84.151,1135,203,108,48,4409,297,72,225,247,145,247,137,3055,766,7,106,2020,38,2020,53,0.304,-0.437,6.177
PI429504,27.384,87.234,469,222,113,49,4186,319,91,228,265,159,265,159,1434,320,8,91,839,38,839,38,-0.748,-0.135,2.454
PI429519,27.418,87.134,626,211,110,49,4185,305,81,224,254,148,254,148,1773,401,11,93,1045,47,1045,47,-0.483,-0.1,3.086
PI429521,27.535,87.551,2706,46,116,48,4682,148,-93,241,102,-8,102,-18,1009,233,7,95,622,35,622,45,0.821,-0.044,1.369
PI429526,27.601,87.368,1469,186,104,49,3999,275,64,211,229,127,229,127,2499,521,15,91,1458,75,1458,75,0.023,0.084,4.213
PI429533,27.718,87.385,2098,159,100,48,4092,246,38,208,204,108,204,99,2738,593,17,94,1643,83,1643,85,0.426,0.11,4.721
PI429546,27.602,87.035,3262,68,107,47,4330,164,-60,224,118,17,118,8,1421,348,7,100,900,38,900,52,0.782,-0.008,2.313
PI429594,27.735,86.602,5348,-37,135,47,5425,86,-199,285,26,-96,31,-107,418,124,2,117,292,14,282,19,1.466,-0.441,0.353
PI559494,29.402,82.402,4594,-1,105,44,4840,115,-122,237,53,-33,58,-64,792,159,6,68,396,74,366,140,1.07,0.459,0.294
PI559501,29.335,82.519,4633,38,102,44,4586,153,-77,230,86,6,92,-23,881,171,6,66,432,81,401,154,0.694,0.523,0.461
PI559516,28.152,84.152,1171,203,108,48,4409,297,72,225,247,145,247,137,3055,766,7,106,2020,38,2020,53,0.304,-0.437,6.177
PI559518,28.152,84.152,1171,203,108,48,4409,297,72,225,247,145,247,137,3055,766,7,106,2020,38,2020,53,0.304,-0.437,6.177
PI559519,28.152,84.152,1171,203,108,48,4409,297,72,225,247,145,247,137,3055,766,7,106,2020,38,2020,53,0.304,-0.437,6.177
PI573760,27.902,86.902,4982,-46,140,46,5756,83,-216,299,21,-109,26,-120,351,111,1,120,253,11,244,15,1.571,-0.569,0.25
PI573786,27.569,86.236,2445,144,104,47,4501,230,9,221,193,88,193,79,2070,555,5,111,1399,31,1399,32,0.456,-0.322,4.167
PI573792,27.569,86.236,2445,144,104,47,4501,230,9,221,193,88,193,79,2070,555,5,111,1399,31,1399,32,0.456,-0.322,4.167
PI573802,27.986,86.403,4776,-29,139,47,5604,100,-194,294,37,-90,41,-101,371,114,1,120,264,13,254,19,1.379,-0.538,0.318
PI573817,29.403,81.069,2709,150,100,42,4797,266,30,236,192,89,201,82,1338,320,12,90,800,91,540,135,-0.094,0.199,1.798
PI573864,28.736,83.486,5104,-42,112,45,4854,71,-174,245,13,-72,18,-105,542,120,4,77,295,51,272,87,1.413,0.281,-0.028
PI573926,29.82,81.403,4079,-28,106,42,5344,92,-158,250,34,-62,39,-97,800,176,8,77,436,70,402,127,1.429,0.297,0.413
PI573953,29.653,80.736,2361,171,107,43,4850,294,48,246,211,107,221,101,1693,418,13,99,1066,96,717,138,-0.134,0.036,2.649
PI573967,28.57,82.903,2669,71,105,45,4486,180,-51,231,114,41,121,8,797,178,7,76,430,71,404,116,0.393,0.355,0.61
PI573969,28.57,82.903,2669,71,105,45,4486,180,-51,231,114,41,121,8,797,178,7,76,430,71,404,116,0.393,0.355,0.61
PI573977,28.57,82.903,2669,71,105,45,4486,180,-51,231,114,41,121,8,797,178,7,76,430,71,404,116,0.393,0.355,0.61
PI573982,28.904,82.737,4665,73,105,45,4505,185,-47,232,117,41,124,11,824,180,7,75,439,73,410,123,0.37,0.366,0.634
PI573985,28.904,82.737,4665,73,105,45,4505,185,-47,232,117,41,124,11,824,180,7,75,439,73,410,123,0.37,0.366,0.634
PI574003,29.654,81.654,2693,123,108,45,4758,244,4,240,167,86,175,56,894,205,5,86,527,63,487,103,-0.047,0.104,1.075
PI574033,27.404,86.987,1424,105,95,45,4143,192,-17,209,151,54,151,46,1972,486,8,102,1274,45,1274,55,0.707,0.003,3.538
PI574062,27.904,86.904,5010,-46,140,46,5756,83,-216,299,21,-109,26,-120,351,111,1,120,253,11,244,15,1.571,-0.569,0.25
PI574067,27.904,86.904,5010,-46,140,46,5756,83,-216,299,21,-109,26,-120,351,111,1,120,253,11,244,15,1.571,-0.569,0.25
PI574081,28.988,82.404,5122,24,101,44,4522,135,-92,227,72,-5,78,-36,864,176,7,70,444,79,413,143,0.838,0.518,0.483
PI574085,27.071,88.071,1881,112,80,42,4085,189,1,188,156,63,156,52,1917,489,7,99,1202,46,1202,52,0.618,0.151,3.354
PI574089,27.071,88.071,1881,112,80,42,4085,189,1,188,156,63,156,52,1917,489,7,99,1202,46,1202,52,0.618,0.151,3.354
PI574091,27.071,88.071,1881,112,80,42,4085,189,1,188,156,63,156,52,1917,489,7,99,1202,46,1202,52,0.618,0.151,3.354
PI574094,27.071,88.071,1881,112,80,42,4085,189,1,188,156,63,156,52,1917,489,7,99,1202,46,1202,52,0.618,0.151,3.354
PI564647,24.506,56.609,0,264,128,47,5298,392,122,270,226,325,325,193,80,37,0,152,65,0,0,45,-1.816,-0.669,0.172
PI564648,23.662,57.328,123,270,106,43,4985,391,145,246,237,299,328,203,76,27,0,109,51,2,5,41,-1.845,-0.264,-0.131
PI564649,23.329,57.495,430,256,100,41,4984,376,133,243,225,284,314,188,95,30,0,105,61,6,8,45,-1.681,-0.188,-0.182
PI564661,23.329,57.495,430,256,100,41,4984,376,133,243,225,284,314,188,95,30,0,105,61,6,8,45,-1.681,-0.188,-0.182
PI564662,23.329,57.329,1288,222,98,39,5203,343,96,247,191,222,283,152,153,41,1,85,87,13,27,58,-1.261,-0.049,-0.306
PI564663,23.329,57.329,1288,222,98,39,5203,343,96,247,191,222,283,152,153,41,1,85,87,13,27,58,-1.261,-0.049,-0.306
PI564664,23.496,56.829,654,232,109,42,5112,358,102,256,201,233,292,163,124,40,1,98,78,11,14,53,-1.401,-0.202,-0.2
PI564666,23.746,56.696,769,236,113,43,5106,363,103,260,204,266,295,167,117,41,0,110,76,10,12,55,-1.48,-0.292,-0.128
PI564669,23.163,57.496,1915,206,92,37,5277,325,82,243,176,205,269,135,190,45,1,78,101,15,43,63,-1.071,0.04,-0.358
PI057958,31.58,73.246,189,241,142,39,7564,408,45,363,311,193,325,135,336,92,3,100,216,16,207,39,-1.026,-1.146,0.619
PI217948,34.064,70.264,2334,132,117,35,7636,290,-38,328,77,143,227,30,772,132,24,53,340,87,180,183,0.052,0.089,-0.162
PI244823,36.164,75.164,5060,-36,94,24,9945,159,-229,388,-49,-80,86,-170,120,19,3,45,51,13,29,22,1.893,-0.571,-1.247
PI244826,35.464,75.78,4313,4,99,24,10403,206,-195,401,-9,-42,130,-136,139,22,3,47,59,15,29,32,1.541,-0.719,-1.12
PI250365,30.164,70.164,851,197,145,39,7660,365,2,363,273,149,286,91,337,94,4,89,197,19,191,40,-0.614,-1.05,0.437
PI250366,33.681,74.081,1079,178,115,37,6940,332,22,310,137,135,259,82,641,95,18,42,231,75,184,135,-0.457,0.091,-0.229
PI269899,33.531,70.714,1136,174,119,35,7558,337,4,333,253,130,266,73,617,102,14,55,243,57,233,112,-0.375,-0.379,0.217
PI269912,36.247,72.214,1960,117,111,31,8489,299,-54,353,109,215,224,2,323,67,9,71,168,29,32,87,0.042,-0.49,-0.519
PI410444,35.364,74.214,2768,156,116,34,7928,327,-7,334,155,163,256,50,317,56,7,56,151,40,62,64,-0.318,-0.406,-0.433
PI410451,36.481,75.048,4116,43,107,27,9826,242,-153,395,37,-8,164,-90,102,19,2,55,48,10,22,18,1.078,-0.806,-0.955
PI410456,36.381,73.364,3245,96,108,29,9070,286,-85,371,91,47,210,-27,141,31,2,64,67,15,31,25,0.461,-0.746,-0.704
PI410464,36.598,73.548,4418,-34,89,24,9269,151,-216,367,-46,-14,80,-158,265,42,9,45,116,35,50,64,1.772,-0.261,-1.16
PI410465,36.431,73.581,4245,-22,89,24,9237,161,-203,364,-34,-3,92,-146,267,42,8,45,116,35,53,63,1.651,-0.27,-1.125
PI410471,36.331,73.131,3879,-32,87,24,8984,147,-209,356,-44,-12,79,-152,380,60,14,47,165,50,69,96,1.751,-0.101,-1.045
PI410475,36.315,73.065,4785,-31,87,24,8973,147,-208,355,-44,-11,80,-151,387,62,14,47,170,50,69,98,1.743,-0.094,-1.034
PI410478,36.448,73.948,4103,49,101,27,9344,239,-135,374,41,2,166,-77,144,26,2,51,65,15,34,27,0.969,-0.624,-0.933
PI410481,36.215,74.298,2308,33,98,26,9383,222,-150,372,24,-12,150,-93,177,30,3,52,79,19,41,34,1.144,-0.572,-0.947
PI410483,35.615,74.965,2907,97,111,30,8827,281,-80,361,91,49,207,-22,285,50,6,61,144,32,48,58,0.446,-0.578,-0.577
PI410507,35.415,76.015,4165,-52,96,24,10068,146,-246,392,-67,-94,71,-186,103,15,3,42,38,13,28,19,2.048,-0.569,-1.331
PI410509,35.332,76.249,4720,-76,98,25,9854,120,-268,388,45,-117,46,-206,92,13,3,41,33,13,28,16,2.19,-0.665,-1.08
PI410516,35.282,76.132,4557,-19,100,24,10351,183,-218,401,-32,-63,107,-158,108,15,2,40,41,12,26,25,1.75,-0.674,-1.252
PI410520,35.349,76.066,5135,-57,97,24,9996,140,-251,391,-72,-99,65,-190,99,14,2,41,35,12,28,19,2.089,-0.56,-1.35
PI410522,35.466,75.932,5270,-32,97,24,10229,168,-229,397,-46,-76,93,-169,115,16,3,42,44,14,28,24,1.873,-0.622,-1.272
PI410525,36.082,72.066,2552,110,107,31,8345,288,-56,344,102,207,215,-2,410,83,13,67,208,42,44,111,0.116,-0.317,-0.484
PI513166,31.026,72.486,158,247,146,39,7747,417,47,370,320,197,334,139,264,71,2,98,167,13,165,31,-1.104,-1.217,0.489
PI513167,30.633,72.616,155,250,146,39,7700,418,50,368,321,200,335,141,247,69,2,105,162,10,157,28,-1.135,-1.254,0.515
PI513169,31.283,74.616,208,238,141,39,7300,406,50,356,303,190,318,135,538,165,4,115,381,26,215,53,-0.958,-1.137,1.067
PI513195,25.433,63.633,57,258,118,47,4503,368,122,246,193,263,309,193,103,32,0,105,63,4,19,63,-1.719,-0.166,-0.171
PI513197,25.833,62.3,48,273,127,44,5424,406,123,283,195,305,334,195,121,31,1,84,72,5,17,72,-1.784,-0.288,-0.31
PI513200,28.645,65.81,1073,225,178,45,7963,419,28,391,141,221,324,119,120,26,1,77,68,5,21,63,-1.097,-1.047,-0.38
PI513205,30.7,67.2,1836,160,159,41,8278,355,-29,384,69,161,265,50,265,55,0,86,157,10,33,141,-0.401,-0.843,-0.377
PI513226,36.167,75.167,5247,-36,94,24,9945,159,-229,388,-49,-80,86,-170,120,19,3,45,51,13,29,22,1.893,-0.571,-1.247
PI564627,30.717,66.867,1479,173,167,42,8361,373,-17,390,83,227,280,63,250,58,0,98,159,7,24,142,-0.608,-0.972,-0.289
CIho10058,39.674,-7.826,264,159,97,38,5258,307,57,250,96,227,230,96,858,124,7,55,350,52,53,350,-0.749,0.76,-0.262
PI467684,40.208,-8.208,311,154,102,42,4673,292,51,241,95,213,215,95,1010,144,11,53,406,68,71,406,-0.728,0.98,-0.13
PI467690,40.292,-8.325,302,151,100,42,4451,283,50,233,95,207,209,95,1040,147,11,53,417,70,74,417,-0.708,1.056,-0.108
PI467691,38.742,-7.724,308,160,100,40,5192,309,59,250,98,226,231,98,657,90,5,56,264,39,39,264,-0.807,0.597,-0.415
PI467692,39.676,-7.824,259,159,97,38,5258,307,57,250,96,227,230,96,858,124,7,55,350,52,53,350,-0.749,0.76,-0.262
PI076514,43.181,47.181,-19,123,76,22,9198,296,-35,331,132,12,241,6,344,39,20,24,107,64,93,67,0.35,-0.088,-0.828
PI094801,45.481,41.081,144,107,102,28,9189,297,-60,357,203,-4,222,-13,559,69,30,23,185,101,176,114,0.488,-0.156,-0.392
PI094875,45.481,41.081,144,107,102,28,9189,297,-60,357,203,-4,222,-13,559,69,30,23,185,101,176,114,0.488,-0.156,-0.392
PI327701,45.225,42.156,322,94,102,28,9259,286,-72,358,192,-17,212,-25,505,71,24,32,186,78,178,84,0.603,-0.33,-0.325
PI327702,45.225,42.156,322,94,102,28,9259,286,-72,358,192,-17,212,-25,505,71,24,32,186,78,178,84,0.603,-0.33,-0.325
PI327704,45.225,42.156,322,94,102,28,9259,286,-72,358,192,-17,212,-25,505,71,24,32,186,78,178,84,0.603,-0.33,-0.325
PI327708,45.225,42.156,322,94,102,28,9259,286,-72,358,192,-17,212,-25,505,71,24,32,186,78,178,84,0.603,-0.33,-0.325
PI327709,45.226,42.156,326,94,102,28,9259,286,-72,358,192,-17,212,-25,505,71,24,32,186,78,178,84,0.603,-0.33,-0.325
PI327738,45.232,39.155,30,114,84,25,8687,283,-41,324,24,51,225,2,667,74,42,19,196,137,182,176,0.442,0.541,-0.928
PI327763,45.226,42.156,326,94,102,28,9259,286,-72,358,192,-17,212,-25,505,71,24,32,186,78,178,84,0.603,-0.33,-0.325
PI327764,45.226,42.156,326,94,102,28,9259,286,-72,358,192,-17,212,-25,505,71,24,32,186,78,178,84,0.603,-0.33,-0.325
PI327783,45.226,42.157,325,94,102,28,9259,286,-72,358,192,-17,212,-25,505,71,24,32,186,78,178,84,0.603,-0.33,-0.325
PI327810,43.683,43.683,330,99,103,30,8746,278,-65,343,190,-5,209,-15,647,92,31,35,244,99,233,103,0.555,-0.136,-0.151
PI606305,18.418,42.702,1946,194,134,56,3672,314,75,239,174,164,241,147,232,52,2,82,128,14,49,43,-1.239,0.039,-0.093
PI606311,21.452,40.602,1433,224,133,50,4852,350,85,265,224,284,284,160,146,33,1,73,72,12,12,22,-1.489,-0.186,-0.262
PI344865,45.005,20.646,76,120,96,31,7561,283,-21,304,197,35,213,19,630,82,38,24,214,126,194,143,0.191,0.358,-0.366
PI344867,43.452,21.802,219,115,107,34,7377,284,-29,313,190,34,206,17,621,71,42,18,191,128,165,140,0.181,0.382,-0.475
PI344885,43.536,19.869,1106,69,82,29,6680,210,-64,274,133,-7,151,-20,987,106,63,15,299,199,271,213,0.75,1.116,-0.442
PI344886,43.536,19.869,1106,69,82,29,6680,210,-64,274,133,-7,151,-20,987,106,63,15,299,199,271,213,0.75,1.116,-0.442
PI344903,45.005,20.646,76,120,96,31,7561,283,-21,304,197,35,213,19,630,82,38,24,214,126,194,143,0.191,0.358,-0.366
PI349896,45.005,20.646,76,120,96,31,7561,283,-21,304,197,35,213,19,630,82,38,24,214,126,194,143,0.191,0.358,-0.366
PI362381,44.003,22.136,304,102,95,31,7466,263,-37,300,177,18,194,3,656,83,42,23,221,129,198,140,0.367,0.441,-0.411
PI374429,43.47,20.803,1570,60,82,29,6786,204,-70,274,127,-17,144,-30,909,102,58,17,286,188,256,199,0.815,1.028,-0.475
PI374437,43.47,20.803,1570,60,82,29,6786,204,-70,274,127,-17,144,-30,909,102,58,17,286,188,256,199,0.815,1.028,-0.475
PI378218,44.553,19.803,218,114,101,33,7188,272,-30,302,186,33,203,18,740,87,47,19,236,150,216,173,0.238,0.569,-0.375
PI378224,44.153,19.753,894,88,91,31,6938,237,-51,288,157,10,174,-4,869,101,54,20,285,168,261,186,0.538,0.798,-0.342
PI058057,40.192,-3.808,620,140,106,35,6706,315,13,302,97,229,229,57,431,52,10,37,148,48,48,128,-0.437,0.201,-0.777
PI042888,15.747,32.728,421,289,150,56,3658,411,146,265,310,246,327,233,122,58,0,162,113,0,42,0,-2.097,-0.828,0.739
PI370782,47,9.416,1588,54,75,30,6029,183,-63,246,129,-16,129,-24,1278,159,71,28,453,220,453,231,0.929,1.329,0.093
PI370821,47,9.416,1588,54,75,30,6029,183,-63,246,129,-16,129,-24,1278,159,71,28,453,220,453,231,0.929,1.329,0.093
PI370852,47.2,8.214,763,83,77,30,6180,220,-30,250,161,14,161,3,1154,143,69,27,408,219,408,222,0.598,1.236,0.016
PI370862,46.817,10.567,1985,-13,55,27,5269,93,-109,202,53,-76,53,-76,1323,154,81,21,440,261,414,261,1.523,1.952,-0.289
PI370867,46.517,8.15,3318,-49,50,26,5021,47,-143,190,14,-33,15,-110,2316,215,164,8,620,514,570,583,2.008,3.629,-0.315
PI370869,46.517,8.15,3318,-49,50,26,5021,47,-143,190,14,-33,15,-110,2316,215,164,8,620,514,570,583,2.008,3.629,-0.315
PI370963,46.567,8.283,2138,-14,54,26,5295,92,-111,203,53,1,54,-78,2007,196,146,10,572,456,527,485,1.628,3.118,-0.293
PI370966,46.617,8.367,2851,-39,49,25,5063,58,-133,191,24,-22,25,-100,2249,212,161,9,623,500,574,550,1.921,3.51,-0.281
PI370970,46.617,8.367,2851,-39,49,25,5063,58,-133,191,24,-22,25,-100,2249,212,161,9,623,500,574,550,1.921,3.51,-0.281
PI370983,47.201,8.215,768,83,77,30,6180,220,-30,250,161,14,161,3,1154,143,69,27,408,219,408,222,0.598,1.236,0.016
PI370994,46.684,8.467,2787,-37,49,25,5055,60,-131,191,26,-20,27,-98,2239,213,159,9,628,497,578,542,1.903,3.477,-0.258
PI371017,46.684,8.484,2359,-23,51,26,5183,78,-118,196,42,-7,43,-85,2099,207,150,10,605,472,558,508,1.735,3.264,-0.245
PI371056,46.484,7.617,2121,42,72,29,5940,171,-70,241,118,-4,118,-33,1416,141,104,10,402,319,402,346,1.009,2.052,-0.369
PI371069,46.368,8.001,1420,-10,57,27,5389,99,-109,208,58,4,58,-76,1943,186,144,8,533,446,492,480,1.562,3.057,-0.38
PI371079,46.551,8.168,2510,-43,50,26,5052,54,-137,191,20,-26,21,-104,2276,211,162,8,613,506,564,569,1.942,3.57,-0.318
PI371100,46.568,8.284,2261,-14,54,26,5295,92,-111,203,53,1,54,-78,2007,196,146,10,572,456,527,485,1.628,3.118,-0.293
